수집된 시간,상품명,가격,시간,지역 정보
2024-12-31 00:59:35,무료배송/정품)새상품 폴로 여성용 꽈배기 라운드 케이블 니트,"69,800",AD,경기도 안산시 상록구 이동
2024-12-31 00:59:35,장원영 로라로라 회색 니트,"52,000",AD,지역정보 없음
2024-12-31 00:59:35,뉴얼린 팅커벨 후크 셔링 썸머블라우스 블랙색,"42,000",7초 전,지역정보 없음
2024-12-31 00:59:36,아디다스 크롭기모후드 95 여성66 가슴50 기장49,"17,000",10초 전,지역정보 없음
2024-12-31 00:59:36,자라 페이크퍼 후드 집업 자켓 블랙,"18,000",11초 전,지역정보 없음
2024-12-31 00:59:36,룰루레몬 레깅스 재고정리 합니다,"61,000",AD,지역정보 없음
2024-12-31 00:59:36,무료배송/정품)새상품 폴로 꽈배기 가디건 니트 여성용 케이블,"72,800",AD,경기도 안산시 상록구 이동
2024-12-31 00:59:36,노스페이스 네오 퍼피 패딩 핑크,"270,000",11초 전,지역정보 없음
2024-12-31 00:59:36,스튜디오톰보이자켓,"45,000",11초 전,지역정보 없음
2024-12-31 00:59:36,자라 니트 스웨터 가디건/55~정66,"35,000",11초 전,지역정보 없음
2024-12-31 00:59:37,사가 폭스퍼 베스트 66-77,"180,000",12초 전,지역정보 없음
2024-12-31 00:59:37,(남여공용)벨벳 보아털 두줄 밴딩팬츠 M-XL,"23,800",AD,지역정보 없음
2024-12-31 00:59:37,리바이스 여성용 리버서블 셰르파코트,"87,000",12초 전,경기도 고양시 일산서구 대화동
2024-12-31 00:59:37,DKNY 해외판 여성다운패딩자켓(55),"20,000",12초 전,경기도 고양시 일산서구 대화동
2024-12-31 00:59:37,타임 자켓ss23,"259,000",13초 전,지역정보 없음
2024-12-31 00:59:37,타미진스 여성 패딩 77~88,"70,000",14초 전,지역정보 없음
2024-12-31 00:59:37,룰루레몬 레깅스 뱀피 특별가 판매 재고정리합니다!!!!,"32,000",AD,지역정보 없음
2024-12-31 00:59:38,리얼밍크코트,"150,000",15초 전,지역정보 없음
