수집된 시간,상품명,가격,시간,지역 정보
2025-01-06 01:22:10,미우미우스타일 데님 큐빅 원피스,"35,000",AD,지역정보 없음
2025-01-06 01:22:11,새상품 얼반 반팔 반바지 세트,"13,000",AD,지역정보 없음
2025-01-06 01:22:11,에잇세컨즈 투웨이 집업 가디건,"15,000",5초 전,지역정보 없음
2025-01-06 01:22:11,지윤미 ceeci 씨에씨 블레이저 자켓 M 블랙 (새상품),"230,000",5초 전,지역정보 없음
2025-01-06 01:22:11,빈티지포유 찰리&루시 수면 파자마 SET,"55,000",5초 전,경상북도 포항시 북구 장량동
2025-01-06 01:22:11,초특가)로로피아나 트레블러 자켓 사이즈38 FAF8482,"1,550,000",AD,서울특별시 송파구 잠실본동
2025-01-06 01:22:11,무료배송/정품)새상품 폴로 여성용 꽈배기 라운드 케이블 니트,"69,800",AD,경기도 안산시 상록구 이동
2025-01-06 01:22:11,유노이아 daddy padding shirt,"200,000",5초 전,경상북도 포항시 북구 장량동
2025-01-06 01:22:11,cos 스트라이프 니트 반팔 가디건,"120,000",5초 전,경상북도 포항시 북구 장량동
2025-01-06 01:22:11,조끼새것66.,"30,000",7초 전,지역정보 없음
2025-01-06 01:22:11,원가 2.9 에이블리 후드집업 급처,"9,500",7초 전,지역정보 없음
2025-01-06 01:22:11,수입의류 체크레이어드 원피스 S,"35,000",AD,지역정보 없음
2025-01-06 01:22:11,안다르 리브드 투톤 하프넥 티셔츠,"6,000",7초 전,지역정보 없음
2025-01-06 01:22:11,HENNES 이태리수입 긴팔 티 여 55/66 J3044,"20,000",9초 전,지역정보 없음
2025-01-06 01:22:11,KOREA 레드 니트 여 95 J2981,"5,000",9초 전,지역정보 없음
2025-01-06 01:22:12,ITALY 베이지 니트 여 66/77 J2905,"7,000",9초 전,지역정보 없음
2025-01-06 01:22:12,소라 블랙 진주끈원피스(가슴패드내장),"25,000",AD,지역정보 없음
2025-01-06 01:22:12,VERA PELLE ITALY 브라운 트렌치 여 66 J2857,"697,000",9초 전,지역정보 없음
2025-01-06 01:22:12,BONPRIX ITALY 그레이 긴팔 티 여 66/77 J2884,"8,550",9초 전,지역정보 없음
2025-01-06 01:22:12,시티브리즈 리브르 울 트위드자켓 아이보리,"110,000",9초 전,지역정보 없음
2025-01-06 01:22:12,온앤온셋업,"60,000",10초 전,지역정보 없음
2025-01-06 01:22:12,강민경 알왕스타일 블라우스,"20,000",AD,지역정보 없음
2025-01-06 01:22:12,지윤미 ceeci 씨에씨 슬렉스 S 블랙 (새상품),"150,000",10초 전,지역정보 없음
2025-01-06 01:22:12,켈빈클라인 청바지,"20,000",11초 전,지역정보 없음
2025-01-06 01:22:12,TIME 여성코트,"70,000",11초 전,지역정보 없음
2025-01-06 01:22:12,아르마니 니트,"40,000",11초 전,지역정보 없음
2025-01-06 01:22:12,새상품 체크 반팔 크롭 카라 블라우스,"20,000",AD,지역정보 없음
2025-01-06 01:22:12,DKNY 마 원피스,"80,000",11초 전,지역정보 없음
2025-01-06 01:22:12,버버리 바람막이,"800,000",11초 전,지역정보 없음
2025-01-06 01:22:12,버버리 니트,"550,000",11초 전,지역정보 없음
2025-01-06 01:22:13,MINE 여성자켓,"45,000",11초 전,지역정보 없음
2025-01-06 01:22:13,시티브리즈 케이블 니트 가디건,"37,000",11초 전,지역정보 없음
2025-01-06 01:22:13,아디다스 맨체스터 유나이티드 트랙탑 L,"80,000",11초 전,지역정보 없음
2025-01-06 01:22:13,니트 롱원피스,"15,000",12초 전,지역정보 없음
2025-01-06 01:22:13,크롭 블라우스,"8,000",12초 전,지역정보 없음
2025-01-06 01:22:13,오프숄더,"15,000",12초 전,지역정보 없음
2025-01-06 01:22:13,도톰 누빔 잠옷 상하세트 (테디베어),"29,000",AD,지역정보 없음
2025-01-06 01:22:13,페이크 퍼 자켓,"21,500",12초 전,지역정보 없음
2025-01-06 01:22:13,나염 미니스커트(안감바지),"10,000",12초 전,지역정보 없음
2025-01-06 01:22:13,무신사 메테오샤워 후드티 페일퍼플 오버핏 후드 에이블리 챠콜,"24,000",13초 전,지역정보 없음
2025-01-06 01:22:13,골지롱원피스 베이지,"13,000",14초 전,지역정보 없음
2025-01-06 01:22:13,버버리가디건 (W) 버버리 로고 울 코튼 자카드 오버사이즈 가디건 페일,"700,000",AD,서울특별시 송파구 삼전동
2025-01-06 01:22:13,프라다 크롭 벨벳 패딩36,"3,000,000",15초 전,지역정보 없음
2025-01-06 01:22:13,바버 긴팔 티셔츠 여성 34사이즈 운포,"35,000",15초 전,지역정보 없음
