수집된 시간,상품명,가격,시간,지역 정보
2024-12-09 12:40:43,90)네파 여성 집업 후리스,"9,000",1분 전,지역정보 없음
2024-12-09 12:40:43,마리마켓 케이프 핸드메이드 코트 오트밀 새상품,"142,000",AD,지역정보 없음
2024-12-09 12:40:43,만원샵 플라스틱아일랜드 모직 미니멀 집업 자켓 M05604,"21,000",1분 전,지역정보 없음
2024-12-09 12:40:43,할리데이비슨 가죽 조끼 S,"85,000",1분 전,지역정보 없음
2024-12-09 12:40:44,원피스,"40,000",1분 전,서울특별시 강남구 청담동
2024-12-09 12:40:44,세미크롭 기모x / 하이쭈 데님 흑청자켓,"13,000",1분 전,지역정보 없음
2024-12-09 12:40:44,정품)새상품 폴로 꽈배기 가디건 니트 여성용 케이블,"72,800",AD,경기도 안산시 상록구 이동
2024-12-09 12:40:44,마이유스 리본데님 팬츠,"52,000",1분 전,지역정보 없음
2024-12-09 12:40:44,노어슨 와이드 데님 팬츠,"47,000",1분 전,지역정보 없음
2024-12-09 12:40:44,르앤드 웡카 코튼 와이드 블랙 팬츠,"29,000",1분 전,지역정보 없음
2024-12-09 12:40:44,버뮬라 울 버튼 긴팔 티셔츠,"52,000",1분 전,지역정보 없음
2024-12-09 12:40:44,[0] 정품 22~23FW 몽클레어 클로에 패딩 블랙,"2,550,000",AD,지역정보 없음
2024-12-09 12:40:44,포르타 워머 롱 슬리브리스,"38,000",1분 전,지역정보 없음
2024-12-09 12:40:44,샵보얼 워머 긴팔 티셔츠,"20,000",1분 전,지역정보 없음
2024-12-09 12:40:45,데일리쥬 헤이더 오버핏 체크 셔츠,"30,000",1분 전,지역정보 없음
2024-12-09 12:40:45,SALON DE VICTORIA 레이스프릴 면잠바 프리,"10,000",1분 전,지역정보 없음
2024-12-09 12:40:45,미니드레스S,"99,000",AD,경기도 시흥시 정왕2동
2024-12-09 12:40:45,라벨르블랑 마레아 쿠튀르 스커트 28 새제품,"280,000",1분 전,지역정보 없음
2024-12-09 12:40:45,이자벨마랑 에뚜왈 코트,"180,000",1분 전,인천광역시 연수구 송도1동
2024-12-09 12:40:45,폴라스케이트 빅보이진 블루 xs,"120,000",1분 전,지역정보 없음
2024-12-09 12:40:45,알파카 코트,"180,000",1분 전,지역정보 없음
2024-12-09 12:40:45,드래곤볼 반티 옷 체육대회 판매 코스프레,"5,000",1분 전,지역정보 없음
2024-12-09 12:40:45,자라 쟈가드 블랙 쟈켓,"20,000",1분 전,지역정보 없음
2024-12-09 12:40:45,디젤 미디 스커트 레드,"30,000",1분 전,지역정보 없음
2024-12-09 12:40:45,히스테릭글래머 미니스커트,"40,000",1분 전,경기도 남양주시 화도읍
2024-12-09 12:40:46,무신사 바지 팬츠 / 어반드레스 스노우 카고 데님 블랙,"41,000",1분 전,지역정보 없음
2024-12-09 12:40:46,노스페이스스카이블루눕시,"350,000",AD,지역정보 없음
2024-12-09 12:40:46,다이나핏 기모 롱 후드티 여90,"30,000",1분 전,지역정보 없음
2024-12-09 12:40:46,택0새상품) 미쏘 레이어드 미니원피스 출근룩,"15,000",1분 전,지역정보 없음
2024-12-09 12:40:46,빈티지 모리걸 웜톤 야상 셔츠 세트,"50,000",1분 전,지역정보 없음
