수집된 시간,상품명,가격,시간,지역 정보
2024-11-11 09:38:08,새상품 톰브라운 정품 여성 가디건,"680,000",AD,지역정보 없음
2024-11-11 09:38:08,랄프로렌 알파카 체크 스커트 새상품,"50,000",AD,지역정보 없음
2024-11-11 09:38:08,KEITH 90's in Japan 벨벳 머플러 라운드넥 자켓 Free,"148,000",13초 전,경기도 부천시 소사본동
2024-11-11 09:38:08,양털코트/무스탕코트,"50,000",15초 전,지역정보 없음
2024-11-11 09:38:08,HayLynn 셔츠 ( 새 옷 ),"10,000",16초 전,지역정보 없음
2024-11-11 09:38:08,올세인츠 여성 덕다운 패딩,"170,000",AD,지역정보 없음
2024-11-11 09:38:08,새상품) 여성니트 겨울니트 풀오버 가디건 스웨터,"34,000",AD,경기도 군포시 궁내동
2024-11-11 09:38:08,스키니 바지 ( 새 옷 ),"10,000",19초 전,지역정보 없음
2024-11-11 09:38:08,Stussy Skull Sweater Natural 택달린 스투시 스컬,"160,000",19초 전,지역정보 없음
2024-11-11 09:38:08,트임 랩 니트- 블루,"20,000",20초 전,지역정보 없음
2024-11-11 09:38:08,위메농 마가렛 울 셔츠 새상품 판매,"55,000",20초 전,지역정보 없음
2024-11-11 09:38:08,구호 트렌치 코트,"90,000",AD,지역정보 없음
2024-11-11 09:38:09,로라로라 라벤더 가디건(레드벨벳 조이 가디건),"30,000",20초 전,지역정보 없음
2024-11-11 09:38:09,슈프림x꼼데가르송 12ss 박스로고 후드,"40,000",20초 전,지역정보 없음
2024-11-11 09:38:09,헬레네 파리스 셔링 윈드브레이커 블랙,"50,000",21초 전,지역정보 없음
2024-11-11 09:38:09,세니크 x-string sleeveless black 나시스트링 슬리브,"35,000",21초 전,지역정보 없음
2024-11-11 09:38:09,한섬 래트바이티(LATT) 경량 롱 패딩,"90,000",AD,지역정보 없음
2024-11-11 09:38:09,빈티지 트랙 니트집업 가디건,"19,000",21초 전,지역정보 없음
2024-11-11 09:38:09,데이지신드롬 리본 티셔츠 화이트,"29,000",21초 전,지역정보 없음
2024-11-11 09:38:09,폼폼 퍼 조끼,"90,000",23초 전,지역정보 없음
2024-11-11 09:38:09,국내 매장발 꼼데가르송 화이트 와펜 가디건,"230,000",25초 전,지역정보 없음
2024-11-11 09:38:09,써스데이아일랜드 뽀글이 무스탕,"70,000",AD,지역정보 없음
2024-11-11 09:38:09,테일러 오버핏 자켓 블레이저,"20,000",25초 전,지역정보 없음
2024-11-11 09:38:09,아이비 클럽 하복 체크 교복 치마 (수선x),"10,000",25초 전,지역정보 없음
2024-11-11 09:38:09,[28] 캐피탈 센츄리 데님 팬츠 century denim,"300,000",25초 전,지역정보 없음
2024-11-11 09:38:09,패딩 솜옷 롱패딩,"15,000",25초 전,지역정보 없음
2024-11-11 09:38:09,JennU 폭스퍼카라 구스다운 롱패딩,"80,000",AD,지역정보 없음
2024-11-11 09:38:09,마크제이콥스 블럭 배색 카고포켓 미디스커트 4size(66-77),"75,000",26초 전,경기도 부천시 소사본동
2024-11-11 09:38:09,오프숄더 단추 니트,"10,000",28초 전,지역정보 없음
2024-11-11 09:38:09,새재품 어깨트임 주름 조임 홀복 원피스,"32,900",30초 전,지역정보 없음
2024-11-11 09:38:09,타임 밍크코트,"930,000",31초 전,지역정보 없음
2024-11-11 09:38:09,새상품) Orr 오르 트윌 블루종 점퍼,"65,000",32초 전,지역정보 없음
2024-11-11 09:38:09,Eonts 에옹쓰 2024 샤샤 화이트,"155,000",32초 전,지역정보 없음
2024-11-11 09:38:09,이사야클로딩 백포인트 실크드레스,"20,000",32초 전,지역정보 없음
2024-11-11 09:38:09,에옹쓰 eonts 2024 샤샤 블랙,"155,000",32초 전,지역정보 없음
2024-11-11 09:38:09,다이애그널 클래식 레더자켓,"140,000",32초 전,지역정보 없음
2024-11-11 09:38:09,로렌랄프로렌 퀼팅 롱 자켓,"150,000",AD,지역정보 없음
2024-11-11 09:38:10,ouie 린넨 데님,"35,000",32초 전,지역정보 없음
2024-11-11 09:38:10,트랜디어패럴 연청바지,"15,000",32초 전,강원도 원주시 행구동
2024-11-11 09:38:10,벨트 블라우스,"10,000",32초 전,서울특별시 관악구 중앙동
2024-11-11 09:38:10,오픈와이와이 드레스,"79,000",33초 전,지역정보 없음
2024-11-11 09:38:10,마리떼프랑소와저버 알파카 롱코트,"180,000",AD,지역정보 없음
2024-11-11 09:38:10,니트 뷔스티에,"15,000",33초 전,지역정보 없음
2024-11-11 09:38:10,새상품) 비터셀즈 C.G 라운드 가디건 아이보리,"44,600",34초 전,지역정보 없음
2024-11-11 09:38:10,"""몽벨"" 롱패딩 (90)","65,000",35초 전,서울특별시 서초구 서초1동
2024-11-11 09:38:10,블랙야크 장미색 구스패딩집업 (패딩1,"30,000",36초 전,지역정보 없음
2024-11-11 09:38:10,프론트로우 핸드메이드 롱코트,"70,000",AD,지역정보 없음
2024-11-11 09:38:10,자라 벨벳 미니 원피스 마르살라컬러,"25,000",37초 전,지역정보 없음
2024-11-11 09:38:10,데드스탁 빈티지 자켓,"52,000",37초 전,지역정보 없음
2024-11-11 09:38:10,유니클로 질샌더 라인 팬츠 / 새제품,"31,500",38초 전,지역정보 없음
2024-11-11 09:38:10,마쥬덕다운패딩(85),"48,000",39초 전,지역정보 없음
2024-11-11 09:38:10,써스데이아일랜드 니트 가디건,"53,000",AD,지역정보 없음
2024-11-11 09:38:10,겨울용 정장치마 블랙,"8,000",39초 전,지역정보 없음
2024-11-11 09:38:10,리맨티스트 언발란스 타이 스카프 티셔츠,"45,000",40초 전,지역정보 없음
2024-11-11 09:38:10,거의새것 겨울도툼한 일자 슬림핏 캐주얼바지 M,"29,900",40초 전,지역정보 없음
2024-11-11 09:38:10,화이트 하이스커트 하이치마 S,"14,900",42초 전,지역정보 없음
