수집된 시간,상품명,가격,시간,지역 정보
2024-12-01 15:20:51,새상품)정품 노스페이스 여성 눕시 숏패딩 모든사이즈 (크롭자켓),"279,000",AD,경기도 안산시 상록구 이동
2024-12-01 15:20:51,정품)새상품 폴로 여성용 꽈배기 라운드 케이블 니트,"69,800",AD,경기도 안산시 상록구 이동
2024-12-01 15:20:51,릿킴 pintuck flare legging pants,"45,000",4초 전,지역정보 없음
2024-12-01 15:20:51,줄라이모먼츠 소프슬림라인셔츠,"35,000",4초 전,지역정보 없음
2024-12-01 15:20:51,마블링 스트링 크롭 셔츠,"30,000",4초 전,지역정보 없음
2024-12-01 15:20:51,(파격할인)생로랑 플로럴 프린트 봄버 자켓(뷔가입었던 자켓),"990,000",AD,서울특별시 송파구 잠실6동
2024-12-01 15:20:51,다니엘에스떼 여성 정장바지(새제품),"15,000",AD,지역정보 없음
2024-12-01 15:20:51,백리스 스트링 크롭 반팔티,"20,000",4초 전,지역정보 없음
2024-12-01 15:20:51,[새상품] Andis' n(앤디슨) 캐시미어 블렌딩 쟈켓,"32,000",5초 전,지역정보 없음
2024-12-01 15:20:52,시야쥬 레귤러핏 코튼 니트 가디건,"47,000",5초 전,지역정보 없음
2024-12-01 15:20:52,라코스테 푸퍼 구스다운 패딩 BF531E-20C,"200,000",7초 전,지역정보 없음
2024-12-01 15:20:52,(남여공용)벨벳 보아털 두줄 밴딩팬츠 M-XL,"23,800",AD,지역정보 없음
2024-12-01 15:20:52,아홉수소녀 셔링티 빈티지,"33,160",7초 전,지역정보 없음
2024-12-01 15:20:52,바이씨니 하트퓨어스커트(반값할인),"40,000",7초 전,지역정보 없음
2024-12-01 15:20:52,화이트 스퀘어넥 니트,"3,000",7초 전,지역정보 없음
2024-12-01 15:20:52,미센스 뽀글이 베스트 Free,"12,000",8초 전,지역정보 없음
2024-12-01 15:20:52,[남여공용]보아털 후리스 밴딩 팬츠M-XL,"23,800",AD,지역정보 없음
2024-12-01 15:20:52,글로니 glownyclassic standard cardigan가디건,"87,000",8초 전,지역정보 없음
2024-12-01 15:20:52,르바 shearing reversible crop coat 무스탕,"150,000",9초 전,지역정보 없음
2024-12-01 15:20:52,(55)코인코즈구스패딩,"130,000",9초 전,서울특별시 양천구 목4동
2024-12-01 15:20:52,스튜디오톰보이 자켓,"41,500",11초 전,서울특별시 성동구 행당제1동
2024-12-01 15:20:52,정품)새상품 폴로 꽈배기 가디건 니트 여성용 케이블,"72,900",AD,경기도 안산시 상록구 이동
2024-12-01 15:20:52,바이씨니 루시무스탕퍼(반값할인),"133,000",11초 전,지역정보 없음
2024-12-01 15:20:52,매건하이텐션 와이드밴딩4종,"50,000",12초 전,지역정보 없음
2024-12-01 15:20:52,hae146 레오파드 팬츠,"60,000",13초 전,지역정보 없음
2024-12-01 15:20:52,산드로 트렌치 코트 Sandro 트렌치코트,"90,000",13초 전,대전광역시 유성구 노은2동
2024-12-01 15:20:52,분더캄머 니트 Knit Rib Half Turtleneck T-shirt,"68,000",AD,지역정보 없음
2024-12-01 15:20:52,시스루 브이넥 니트 블라우스,"10,000",13초 전,지역정보 없음
2024-12-01 15:20:52,아캄 니 핀턱 카모플라쥬 트월팬츠 카키 1사이즈 (새상품),"130,000",14초 전,서울특별시 송파구 송파2동
2024-12-01 15:20:52,새상품 킨다베이지 자켓,"65,000",14초 전,광주광역시 북구 중흥1동
2024-12-01 15:20:52,원가 8만원 / 상태 깔끔) 스파오 패딩 블랙,"35,000",14초 전,지역정보 없음
2024-12-01 15:20:52,명품 디자이너 알베르타 페레티 실크 스커트,"148,000",14초 전,지역정보 없음
