수집된 시간,상품명,가격,시간,지역 정보
2024-11-11 16:23:25,푸쉬버튼 블라우스 푸시버튼 pushbutton,"350,000",AD,지역정보 없음
2024-11-11 16:23:26,새상품 톰브라운 정품 여성 가디건,"680,000",AD,지역정보 없음
2024-11-11 16:23:26,빈티지 더플 떡볶이 코트 내사랑컬리수,"50,000",9초 전,지역정보 없음
2024-11-11 16:23:26,트렌치자켓,"50,000",11초 전,경기도 용인시 수지구 풍덕천2동
2024-11-11 16:23:26,가디건,"70,000",11초 전,경기도 용인시 수지구 풍덕천2동
2024-11-11 16:23:26,캐나다구스 패딩조끼,"195,000",AD,지역정보 없음
2024-11-11 16:23:26,새상품) 여성니트 겨울니트 풀오버 가디건 스웨터,"34,000",AD,경기도 군포시 궁내동
2024-11-11 16:23:26,후드티셔츠,"30,000",11초 전,경기도 용인시 수지구 풍덕천2동
2024-11-11 16:23:26,레이스반바지,"50,000",11초 전,경기도 용인시 수지구 풍덕천2동
2024-11-11 16:23:26,인디브랜드 블루 울90% 코트,"30,000",11초 전,서울특별시 강남구 역삼1동
2024-11-11 16:23:26,블루레이스 원피스 55,"15,000",11초 전,서울특별시 강남구 역삼1동
2024-11-11 16:23:26,올세인츠 여성 덕다운 패딩,"170,000",AD,지역정보 없음
2024-11-11 16:23:26,ㅎ243 누빔 조끼 77,"3,000",11초 전,지역정보 없음
2024-11-11 16:23:26,리즈리사 트리플 리본셋업 양산형 지뢰계,"155,000",12초 전,지역정보 없음
2024-11-11 16:23:26,빈티지 원피스 파자마 홈웨어 몬니 앤느 101호 안단테 시차상점,"52,000",13초 전,지역정보 없음
2024-11-11 16:23:26,쇼콩트 스웻셔츠 맨투맨 권세진 디자이너,"89,000",14초 전,서울특별시 마포구 아현동
2024-11-11 16:23:26,그레이 흑청 치마 (M),"10,000",AD,지역정보 없음
2024-11-11 16:23:26,GRL 치도리 스커트,"36,500",15초 전,지역정보 없음
2024-11-11 16:23:26,오즈세컨 여성 니트 사이즈는 1,"45,000",15초 전,지역정보 없음
2024-11-11 16:23:26,급처 커버낫 플리스 카라리스 자켓 아이보리 L,"14,000",19초 전,지역정보 없음
2024-11-11 16:23:26,ZOOC 프리미엄 울코트66,"75,000",20초 전,지역정보 없음
2024-11-11 16:23:26,슬로우앤드 세인트 핸드메이드 코트 챠콜,"200,000",AD,전라북도 익산시 모현동
2024-11-11 16:23:26,앙스타 유메노사키 교복,"15,000",20초 전,지역정보 없음
2024-11-11 16:23:26,시스막스 천연모피 내피탈부착 55 66,"79,000",21초 전,지역정보 없음
2024-11-11 16:23:26,빈티지 패턴 블라우스,"7,000",22초 전,경상북도 문경시 점촌5동
2024-11-11 16:23:26,비비안웨스트우드 여성 니트,"225,000",22초 전,지역정보 없음
2024-11-11 16:23:26,미사용 한양모피테일러카라 사가밍크블랙크로스풀스킨롱밍크(70%할인₩288만,"860,000",AD,지역정보 없음
2024-11-11 16:23:26,(뉴진스 하니 착용) 몽돌 에코 퍼 와이드 카라 크롭 자켓,"95,000",23초 전,경기도 수원시 영통구 광교1동
2024-11-11 16:23:26,폴로 랄프로렌 여성 린넨 셔츠 릴렉스핏 XS사이즈 화이트 새제품,"115,000",24초 전,경기도 남양주시 다산1동
2024-11-11 16:23:26,바스락 원피스 튜닉 공효진 스타일 모리,"12,000",25초 전,지역정보 없음
2024-11-11 16:23:26,트리밍버드 랩 원피스 블랙,"50,000",26초 전,지역정보 없음
2024-11-11 16:23:26,크롭 니트 조끼 베스트 아이보리,"12,000",26초 전,지역정보 없음
2024-11-11 16:23:26,카라 코트 네이비,"22,000",26초 전,지역정보 없음
2024-11-11 16:23:26,플레어업 그레이 팬츠 1사이즈,"50,000",26초 전,지역정보 없음
2024-11-11 16:23:26,오키트 컷아웃티 블랙,"20,000",26초 전,지역정보 없음
2024-11-11 16:23:26,슬릿 원피스 미착용 컬러화이트,"10,000",26초 전,지역정보 없음
2024-11-11 16:23:26,[1사이즈] 몽클레어 란스 여성 경량패딩 블랙,"1,050,000",AD,지역정보 없음
2024-11-11 16:23:26,Oinimi 해비 워시드 자켓 야상 카키 테스트메커니즘,"85,000",27초 전,지역정보 없음
2024-11-11 16:23:26,빈티지 카라 블라우스,"7,000",27초 전,경상북도 문경시 점촌5동
2024-11-11 16:23:26,[M]아디다스빈티지 크림베이지X핑크빅로고 아디다스3로고 희귀져지 M,"30,000",27초 전,지역정보 없음
2024-11-11 16:23:27,체크 블루종 오버사이즈 브라운 자켓 진짜 예쁨,"30,000",27초 전,지역정보 없음
2024-11-11 16:23:27,[00사이즈] 몽클레어 란스 여성 경량패딩 블랙,"1,100,000",AD,지역정보 없음
2024-11-11 16:23:27,모스키노 꾸뛰르 자켓,"109,000",28초 전,지역정보 없음
2024-11-11 16:23:27,에이블리 셔링 벨벳 오프숄더 미니 원피스,"15,000",30초 전,경상남도 창원시 진해구 풍호동
2024-11-11 16:23:27,예일 옥스퍼드 셔츠,"10,000",30초 전,경상북도 문경시 점촌5동
2024-11-11 16:23:27,키이라 카키그레이 야상 자켓,"40,000",31초 전,지역정보 없음
2024-11-11 16:23:27,정품 폴로 랄프 로렌 걸즈 미니 케이블 코튼 가디건 (차일드),"89,000",AD,경기도 부천시 춘의동
2024-11-11 16:23:27,유니클로 160 뽀글이 맨투맨 여자 m 정도,"6,000",31초 전,지역정보 없음
2024-11-11 16:23:27,폴로 랄프로렌 여성 포켓 반팔 니트 네이비 새제품,"84,000",31초 전,경기도 남양주시 다산1동
2024-11-11 16:23:27,미우미우 케이블 울 가디건 / 38,"990,000",33초 전,지역정보 없음
2024-11-11 16:23:27,마뗑킴 가디건,"40,000",34초 전,지역정보 없음
2024-11-11 16:23:27,여[2벌가]클래식핏 L(기장추가) 107.5 데님 3벌 판매합니다,"285,000",AD,지역정보 없음
2024-11-11 16:23:27,핑크 니트조끼,"5,000",34초 전,경상북도 문경시 점촌5동
2024-11-11 16:23:27,이치 아더 빈티지 데님팬츠 26,"10,000",38초 전,지역정보 없음
2024-11-11 16:23:27,"배색 니트 조끼(실착1회, 사용감x)","8,000",38초 전,경상북도 문경시 점촌5동
2024-11-11 16:23:27,빈티지 패치나시원피스 끈원피스 미니원피스 패치워크 체크 리본 뜨개 레이스,"42,000",38초 전,지역정보 없음
2024-11-11 16:23:27,폴로 랄프로렌 여성 코튼 화이트 셔츠,"95,000",AD,경기도 부천시 춘의동
2024-11-11 16:23:27,버버리 여성 셔츠 남방,"100,000",40초 전,경기도 남양주시 다산2동
2024-11-11 16:23:27,여성 목티,"6,000",40초 전,지역정보 없음
2024-11-11 16:23:27,테스트메커니즘 cashhooked cloth 블랙 바지 M,"70,000",41초 전,지역정보 없음
2024-11-11 16:23:27,본챔스 하트 트라이벌 로고 후드티 양도합니다,"26,000",41초 전,지역정보 없음
2024-11-11 16:23:27,마뗑킴 패딩 조끼 S B0064,"160,000",AD,지역정보 없음
2024-11-11 16:23:27,ㅎ240 수면잠옷 F,"3,000",41초 전,지역정보 없음
2024-11-11 16:23:27,님들앙 오늘 저 생일임 사주 10000,"10,000",41초 전,지역정보 없음
2024-11-11 16:23:27,XS)날씬55) 마이클코어스 얇은 다운패딩,"35,000",42초 전,지역정보 없음
2024-11-11 16:23:27,밀리언코르 니트집업,"18,000",42초 전,지역정보 없음
