수집된 시간,상품명,가격,시간,지역 정보
2024-11-10 08:41:17,LEEGA 리가 코네조 프리미엄 밍크 모피 코트,"250,000",AD,지역정보 없음
2024-11-10 08:41:17,[거의 새상품]인사일런스우먼 자켓,"150,000",AD,서울특별시 강남구 대치2동
2024-11-10 08:41:17,여성 긴팔 티셔츠,"5,000",7초 전,경기도 안양시 동안구 호계2동
2024-11-10 08:41:18,여성 여름 옷 m사이즈 (반팔 나시 반바지),"2,500",9초 전,지역정보 없음
2024-11-10 08:41:18,리에뜨 포니 스커트 (검정),"30,000",11초 전,지역정보 없음
2024-11-10 08:41:18,아디다스 파이어버드 90 대대장,"49,000",AD,지역정보 없음
2024-11-10 08:41:18,폴로 랄프로렌 여성 코튼 화이트 셔츠,"95,000",AD,경기도 부천시 춘의동
2024-11-10 08:41:18,버버리 경량패딩자켓(L),"380,000",12초 전,지역정보 없음
2024-11-10 08:41:18,꾸레쥬 코트,"150,000",12초 전,지역정보 없음
2024-11-10 08:41:18,이세이미야케 플리츠플리즈 바지,"250,000",12초 전,지역정보 없음
2024-11-10 08:41:18,지방시 (44),"100,000",12초 전,지역정보 없음
2024-11-10 08:41:18,바버 인터네셔널 퀼팅자켓,"180,000",AD,지역정보 없음
2024-11-10 08:41:18,랑방 니트티셔츠,"30,000",12초 전,지역정보 없음
2024-11-10 08:41:18,여성수면바지,"5,500",12초 전,경기도 안양시 동안구 호계2동
2024-11-10 08:41:18,새상품)디스커버리밴딩팬츠,"35,000",12초 전,지역정보 없음
2024-11-10 08:41:18,보카시 루즈핏 입술넥 긴팔니트,"9,320",14초 전,지역정보 없음
2024-11-10 08:41:18,막스마라 더블 울 알파카 코트 36 S 블렉 ( 새상품급,"620,000",AD,지역정보 없음
2024-11-10 08:41:18,셔츠,"10,000",14초 전,지역정보 없음
2024-11-10 08:41:18,제시뉴욕,"90,000",14초 전,지역정보 없음
2024-11-10 08:41:18,르꼬르망 우아한 롱니트 원피스,"32,000",15초 전,지역정보 없음
2024-11-10 08:41:18,아델리오 원오프숄더 스트랩 탑 니트조끼(블랙),"10,000",17초 전,지역정보 없음
2024-11-10 08:41:18,마뗑킴 패딩 조끼 S B0064,"160,000",AD,지역정보 없음
2024-11-10 08:41:18,황금모피 사가폭스베스트,"295,000",17초 전,부산광역시 동래구 수민동
2024-11-10 08:41:18,엄마 모피 미들점퍼 100사이즈,"105,000",18초 전,지역정보 없음
2024-11-10 08:41:18,여성가죽자켓,"50,000",18초 전,지역정보 없음
2024-11-10 08:41:18,COS 코스 스트레이트 진 (26 새상품),"48,000",18초 전,대전광역시 중구 목동
2024-11-10 08:41:18,오렌지 배색코트,"18,000",AD,지역정보 없음
2024-11-10 08:41:18,코스 COS 케이블 가디건(xs 새상품),"68,000",18초 전,대전광역시 중구 목동
2024-11-10 08:41:18,르플레인 메이 니트 가디건,"35,000",18초 전,대전광역시 중구 목동
2024-11-10 08:41:18,시어드 폴라 니트(카멜 새상품),"40,000",18초 전,대전광역시 중구 목동
2024-11-10 08:41:18,COS 코스 울 보머 자켓 (S),"100,000",18초 전,대전광역시 중구 목동
2024-11-10 08:41:18,모네 루소 캐시미어 가디건,"80,000",18초 전,대전광역시 중구 목동
2024-11-10 08:41:18,제이투유 버터 핸드메이드 코트 자켓,"90,000",18초 전,대전광역시 중구 목동
2024-11-10 08:41:18,문달 클래식 니트 자켓,"90,000",18초 전,대전광역시 중구 목동
