수집된 시간,상품명,가격,시간,지역 정보
2024-11-02 11:54:29,"새상품)스투시 베이직 맨투맨 블랙,애쉬헤더 판매합니다","99,000",AD,경기도 안산시 상록구 이동
2024-11-02 11:54:29,(특가) 미개봉 스투시 후드 도트 스탬프 stussy 남여공용,"99,000",AD,지역정보 없음
2024-11-02 11:54:29,노운 와이드 치노 팬츠 카키베이지 판매합니다.,"40,000",6초 전,경기도 평택시 서정동
2024-11-02 11:54:29,커넥트킨록 리얼 스웨이드 트러커 자켓,"130,000",7초 전,지역정보 없음
2024-11-02 11:54:29,올리브핫스터프 니트,"3,000",7초 전,서울특별시 광진구 자양제3동
2024-11-02 11:54:29,(특가) 새상품 스투시 기모후드 stussy 남여공용,"87,800",AD,지역정보 없음
2024-11-02 11:54:29,(특가) 새상품 스투시 맨투맨 긴팔 stussy 남여공용 모든사이즈,"49,000",AD,지역정보 없음
2024-11-02 11:54:29,파브레가 록스버그 드리즐러 자켓 2,"90,000",7초 전,광주광역시 남구 송암동
2024-11-02 11:54:29,고낙 퍼그밀팬츠 퍼플그레이 2사이즈 판매합니다.,"110,000",8초 전,경기도 평택시 서정동
2024-11-02 11:54:29,페이탈리즘ash blue crop fit 30-31,"50,000",8초 전,지역정보 없음
2024-11-02 11:54:29,(상태SS) 노스페이스 기능성 코튼블레이져 면쟈켓M 100-105,"50,000",10초 전,지역정보 없음
2024-11-02 11:54:29,[M] 데님티어스 라인스톤 코튼 Wreath 스웻팬츠 크림,"590,000",AD,경기도 고양시 일산서구 대화동
2024-11-02 11:54:29,알프레드 던힐 라이더 자켓,"321,200",10초 전,서울특별시 양천구 신정7동
2024-11-02 11:54:29,아미 빅하트 맨투맨 그레이 M사이즈 판매합니다,"140,000",11초 전,경기도 화성시 동탄6동
2024-11-02 11:54:29,지이크 캐시미어 코트 95사이즈,"20,000",11초 전,경기도 고양시 일산서구 일산1동
2024-11-02 11:54:29,"<미착용 새상품> ZARA 자라 하이테크 파카, L-XL","60,000",12초 전,지역정보 없음
2024-11-02 11:54:29,[XXL] 데님티어스 라인스톤 코튼 Wreath 스웻팬츠 빈티지블랙,"700,000",AD,경기도 고양시 일산서구 대화동
2024-11-02 11:54:29,"UNIQLO 유니클로 코듀로이 팬츠, 85","9,900",12초 전,지역정보 없음
2024-11-02 11:54:29,"<미착용 새상품>, 마하그리드 남녀공용 폴리에스터 아우터패딩, M","25,000",12초 전,지역정보 없음
2024-11-02 11:54:29,아디다스 트레이닝 상의2개,"24,000",12초 전,대구광역시 남구 대명4동
2024-11-02 11:54:29,알프레드 던힐 린넨 자켓,"251,300",12초 전,지역정보 없음
2024-11-02 11:54:29,[XL] 데님티어스 라인스톤 써멀 Wreath 긴팔 롱슬리브 티셔츠,"550,000",AD,경기도 고양시 일산서구 대화동
2024-11-02 11:54:29,폴로 랄프로렌 얇은 봄용 니트 팝니다,"250,000",12초 전,서울특별시 은평구 불광제1동
