수집된 시간,상품명,가격,시간,지역 정보
2024-11-13 16:10:38,모든 명품 최고가 매입 당일입금,"1,000,000",AD,경기도 화성시 동탄4동
2024-11-13 16:10:38,[XXL] 데님티어스 라인스톤 써멀 Wreath 긴팔 롱슬리브 티셔츠,"500,000",AD,경기도 고양시 일산서구 대화동
2024-11-13 16:10:38,폴로 청바지 31사이즈,"37,000",7초 전,지역정보 없음
2024-11-13 16:10:38,스페로네 페이크 B3 자켓 (맨) M 사이즈 판매,"110,000",8초 전,서울특별시 성동구 사근동
2024-11-13 16:10:38,루이비통 모헤어 가디건,"1,850,000",9초 전,경기도 남양주시 다산1동
2024-11-13 16:10:38,캐피탈 60/40 크로스 바구 아노락,"350,000",AD,지역정보 없음
2024-11-13 16:10:38,일본직수입)터틀넥 후드집업 wish for ever,"80,000",AD,지역정보 없음
2024-11-13 16:10:38,엘엘빈 버드아이 스웨터 L사이즈,"100,000",12초 전,경기도 고양시 일산동구 백석2동
2024-11-13 16:10:38,캐나다구스 익스페디션 xs,"500,000",13초 전,지역정보 없음
2024-11-13 16:10:38,[삽니다] 블라인드파일즈 푸퍼레드 2,"12,345",13초 전,지역정보 없음
2024-11-13 16:10:38,00s 빈티지 메탈리카,"180,000",13초 전,지역정보 없음
2024-11-13 16:10:38,[남여공용]수피마 피그먼트 후드집업 와이드팬츠 셋업M-XL,"48,900",AD,지역정보 없음
2024-11-13 16:10:38,00s 빈티지스투시,"40,000",13초 전,서울특별시 관악구 신림동
2024-11-13 16:10:38,크롬하츠 매티보이 SPARK 롱슬리브 오렌지 XL,"1,150,000",15초 전,지역정보 없음
2024-11-13 16:10:38,스테디에브리웨어(SEW) 코튼 립 크루넥 니트 1사이즈 3개 일괄,"115,000",15초 전,지역정보 없음
2024-11-13 16:10:38,제로 클래식 스웻팬츠 오트밀 S,"15,900",15초 전,지역정보 없음
2024-11-13 16:10:38,[XXL] 세인트미카엘 잇츠 세인트 스웻셔츠 맨투맨,"550,000",AD,경기도 고양시 일산서구 탄현2동
2024-11-13 16:10:38,유니클로 반바지 S(28~30),"15,000",15초 전,지역정보 없음
2024-11-13 16:10:38,브랜디드 청바지 7개 급처 [ 신체168이하 허리25~27이하 주목],"63,000",15초 전,지역정보 없음
2024-11-13 16:10:38,폴로 타이거 바시티 S,"380,000",15초 전,지역정보 없음
2024-11-13 16:10:38,블러1.0 니트 반팔 2사이즈 (그린/블루 일괄),"118,000",15초 전,지역정보 없음
2024-11-13 16:10:38,[M] 데님티어스 라인스톤 코튼 Wreath 스웻팬츠 크림,"590,000",AD,경기도 고양시 일산서구 대화동
2024-11-13 16:10:39,코스(COS) 자카드 니트 베스트 M,"35,000",15초 전,부산광역시 사상구 괘법동
2024-11-13 16:10:39,타임옴므 니트슬리브 스웨이드 구스다운 점퍼,"380,000",16초 전,서울특별시 서초구 잠원동
2024-11-13 16:10:39,나나미카 크루저 자켓 오렌지 M,"160,000",17초 전,경기도 안산시 단원구 호수동
2024-11-13 16:10:39,노티카 재팬 더블니 베이지 L,"110,000",17초 전,경기도 안산시 단원구 호수동
2024-11-13 16:10:39,[XL] 세인트미카엘 세인트마이클 X 퍼블릭에너미 나일론 풀오버 블랙,"750,000",AD,경기도 고양시 일산동구 장항1동
2024-11-13 16:10:39,나나미카 알파드라이 클럽자켓 네이비 M,"160,000",17초 전,경기도 안산시 단원구 호수동
