수집된 시간,상품명,가격,시간,지역 정보
2024-11-14 09:18:54,모든 명품 최고가 매입 당일입금,"1,000,000",AD,경기도 화성시 동탄4동
2024-11-14 09:18:54,일본직수입)터틀넥 후드집업 wish for ever,"80,000",AD,지역정보 없음
2024-11-14 09:18:54,(새상품 34) 아프레쎄 No.22 워시드 와이드 데님 팬츠 인디고,"640,000",9초 전,지역정보 없음
2024-11-14 09:18:54,(새상품 32) 브랜디드 51017 히시토모 연청 청바지 슈퍼 와이드,"97,000",9초 전,인천광역시 서구 청라2동
2024-11-14 09:18:54,(새상품 M) 나이키 NSW 푸추라 후드티 라임,"45,000",9초 전,인천광역시 서구 청라2동
2024-11-14 09:18:54,k2 비숑 리버시블 다운,"45,000",AD,지역정보 없음
2024-11-14 09:18:54,오라리 워시드 헤비 캔버스 라이너 코트 L,"599,000",AD,지역정보 없음
2024-11-14 09:18:54,무신사 스트링 나일론 팬츠 (새상품),"19,000",10초 전,지역정보 없음
2024-11-14 09:18:54,파르티멘토 코트 s,"25,000",12초 전,지역정보 없음
2024-11-14 09:18:54,예스아이씨 후드티 XL,"30,000",12초 전,지역정보 없음
2024-11-14 09:18:54,테무바지,"10,000",12초 전,지역정보 없음
2024-11-14 09:18:55,"1+1 조거,와이드 기모 밴딩팬츠 M-3XL","34,800",AD,지역정보 없음
2024-11-14 09:18:55,코튼 와이드 벌룬 팬츠 세이지그린 28,"20,000",12초 전,지역정보 없음
2024-11-14 09:18:55,이벳필드 리버시블 자켓m,"35,000",12초 전,지역정보 없음
2024-11-14 09:18:55,예스아이씨 조끼,"45,000",12초 전,지역정보 없음
2024-11-14 09:18:55,스투시 워시드 캔버스 샵 자켓 블랙,"419,000",14초 전,인천광역시 연수구 동춘3동
2024-11-14 09:18:55,GAP 갭 남성 오버핏 데님 자켓 사이즈 M,"10,000",AD,경상북도 칠곡군 왜관읍
2024-11-14 09:18:55,로드존그레이 패딩,"150,000",14초 전,전라남도 여수시 쌍봉동
2024-11-14 09:18:55,베트라 몰스킨 프렌치 워크자켓 hydrone 48(L),"329,000",15초 전,경기도 성남시 분당구 정자동
2024-11-14 09:18:55,비슬로우 Beslow 헤비 다운패딩 리얼퍼 블랙파카/봄버 (L사이즈),"85,000",15초 전,지역정보 없음
